model,task,task_category,task_benchmark,replicate_number,accuracy,f1,mcc,precision,recall,eval_loss,runtime,samples_per_second,steps_per_second,sequence_length,epoch,lr
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,1,0.852309694209499,0.8521885603192295,0.7044992404739007,0.8524203940452373,0.8520789291812343,0.3486195802688598,0.7418,2071.94,66.054,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,1,0.7677293428757319,0.7382755344854554,0.63064981988136,0.7435666166380845,0.7376721269468091,0.5976195335388184,0.7391,2079.648,66.3,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,1,0.9806666666666668,0.980643064527906,0.9710210195424984,0.9807068870256024,0.9806276317232716,0.0879038050770759,8.3892,357.603,22.41,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,1,0.9706943192064924,0.9706942655932548,0.9414552260772412,0.9707201493508184,0.9707350768447665,0.1279328018426895,6.1981,357.852,22.426,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,1,0.9772416932180246,0.9772408963585436,0.9544963710315392,0.977263610837618,0.9772327606924728,0.0895261019468307,6.1399,357.823,22.476,400.0,5.0,3e-05
DNABERT-1 (6-mer),enhancers,Regulatory (human),Nucleotide Transformer,2,0.8568640208197787,0.8567718040297385,0.7135900865339672,0.8568893634329876,0.856700748028295,0.3390698730945587,0.7387,2080.638,66.331,200.0,4.0,3e-05
DNABERT-1 (6-mer),enhancers_types,Regulatory (human),Nucleotide Transformer,2,0.7709824333116461,0.7423169306041736,0.6332881925869592,0.7451285151989376,0.740011819907001,0.57607102394104,0.7417,2072.236,66.063,200.0,4.0,3e-05
DNABERT-1 (6-mer),splice_sites_all,Splice Sites (human),Nucleotide Transformer,2,0.9793333333333332,0.9793417415199672,0.9690146189654988,0.9793929948342492,0.979326304769026,0.0846078172326088,8.3914,357.51,22.404,600.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_acceptors,Splice Sites (human),Nucleotide Transformer,2,0.9697926059513076,0.9697918629557284,0.9395935830008468,0.9697862867030064,0.9698072965327362,0.1169888600707054,6.2063,357.379,22.397,400.0,5.0,3e-05
DNABERT-1 (6-mer),splice_sites_donor,Splice Sites (human),Nucleotide Transformer,2,0.973145197997269,0.973145108978156,0.9463390097274398,0.9731781317801576,0.9731608781045672,0.1064948067069053,6.1488,357.304,22.443,400.0,5.0,3e-05
