directory_name,model,lr,benchmark,task,seed,accuracy,mcc,f1,precision,recall,runtime,epoch
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_tata_seed3/results/gue_DNABERT2_bpe_3e-5_prom_300_tata_seed3,DNABERT2,3e-5,GUE,prom_300_tata,3,0.8450244698205547,0.6897591997833428,0.8448593250907774,0.844989873147852,0.8447693618834557,0.6162,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_all_seed84/results/gue_DNABERT2_bpe_3e-5_prom_300_all_seed84,DNABERT2,3e-5,GUE,prom_300_all,84,0.9216216216216216,0.8432354249520689,0.9216172916783661,0.9216219473887983,0.9216134776058074,6.4463,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_tata_seed222/results/gue_DNABERT2_bpe_3e-5_prom_core_tata_seed222,DNABERT2,3e-5,GUE,prom_core_tata,222,0.8792822185970636,0.7606496268101411,0.8791893043570895,0.8810842008507727,0.8795669391926417,0.5048,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_notata_seed84/results/gue_DNABERT2_bpe_3e-5_prom_300_notata_seed84,DNABERT2,3e-5,GUE,prom_300_notata,84,0.9626907857546636,0.9254660916381264,0.9626783174757874,0.9628606085239975,0.9626055182699478,5.7697,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_notata_seed54/results/gue_DNABERT2_bpe_3e-5_prom_core_notata_seed54,DNABERT2,3e-5,GUE,prom_core_notata,54,0.8093084605238364,0.6186945584243975,0.8092864599978693,0.8094048940030489,0.8092896751498928,4.0418,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_tata_seed17/results/gue_DNABERT2_bpe_3e-5_prom_core_tata_seed17,DNABERT2,3e-5,GUE,prom_core_tata,17,0.8776508972267537,0.7584057627090564,0.8774931052400176,0.880407533586167,0.8780020439448135,0.5133,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_reconstructed_seed222/results/gue_DNABERT2_bpe_3e-5_reconstructed_seed222,DNABERT2,3e-5,GUE,reconstructed,222,0.9110039456378781,0.846791869249341,0.9043607490278999,0.9122716449617143,0.897099443618488,4.048,5.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_all_seed3/results/gue_DNABERT2_bpe_3e-5_prom_300_all_seed3,DNABERT2,3e-5,GUE,prom_300_all,3,0.9324324324324325,0.8648846077081639,0.9324316612452206,0.9324324324324325,0.932452175501073,5.7259,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_notata_seed54/results/gue_DNABERT2_bpe_3e-5_prom_300_notata_seed54,DNABERT2,3e-5,GUE,prom_300_notata,54,0.9583568871302054,0.9170088041753415,0.958332647964597,0.9588006221446754,0.9582083732821989,4.6679,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_notata_seed3/results/gue_DNABERT2_bpe_3e-5_prom_300_notata_seed3,DNABERT2,3e-5,GUE,prom_300_notata,3,0.9713585830035801,0.9427364238149991,0.9713570361507593,0.9713447130444861,0.9713917119420475,6.1287,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_notata_seed18/results/gue_DNABERT2_bpe_3e-5_prom_core_notata_seed18,DNABERT2,3e-5,GUE,prom_core_notata,18,0.8339928396457509,0.6682560889695643,0.833970179051047,0.8342354856231203,0.8340206378837647,4.1172,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_all_seed17/results/gue_DNABERT2_bpe_3e-5_prom_core_all_seed17,DNABERT2,3e-5,GUE,prom_core_all,17,0.8222972972972973,0.6449333926322094,0.8222680052729654,0.8225954430065118,0.8223380010080424,4.6992,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed17/results/gue_DNABERT2_bpe_3e-5_mouse_1_seed17,DNABERT2,3e-5,GUE,mouse_1,17,0.9006671608598962,0.801570576409493,0.9006521172905393,0.9009052560273424,0.9006653562816013,1.6783,0.15
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed17/results/gue_DNABERT2_bpe_3e-5_tf_1_seed17,DNABERT2,3e-5,GUE,tf_1,17,0.844,0.6956610642434504,0.8431410403368849,0.8517037182444259,0.8440000000000001,0.2643,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed17/results/gue_DNABERT2_bpe_3e-5_tf_4_seed17,DNABERT2,3e-5,GUE,tf_4,17,0.885,0.7743626587434671,0.8846760550386035,0.8893750176988644,0.885,0.2565,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed17/results/gue_DNABERT2_bpe_3e-5_mouse_4_seed17,DNABERT2,3e-5,GUE,mouse_4,17,0.7387148167817312,0.47742997386385416,0.738714153561517,0.7387157948412484,0.73871417902534,0.4757,0.53
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed222/results/gue_DNABERT2_bpe_3e-5_mouse_1_seed222,DNABERT2,3e-5,GUE,mouse_1,222,0.9074870274277242,0.816941035948505,0.9073745923177479,0.9094615526109472,0.9074818819746089,1.6469,0.15
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed222/results/gue_DNABERT2_bpe_3e-5_tf_1_seed222,DNABERT2,3e-5,GUE,tf_1,222,0.827,0.6701171420826254,0.8249198730112467,0.8433157370894384,0.827,0.2567,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_tata_seed223/results/gue_DNABERT2_bpe_3e-5_prom_300_tata_seed223,DNABERT2,3e-5,GUE,prom_300_tata,223,0.8238172920065253,0.6472908522471993,0.8236102822064967,0.8237903311794937,0.8235005859166933,0.5987,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_covid_seed18/results/gue_DNABERT2_bpe_3e-5_covid_seed18,DNABERT2,3e-5,GUE,covid,18,0.12172774869109948,0.0,0.024115130299494362,0.013525305410122165,0.1111111111111111,14.79,8.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_all_seed222/results/gue_DNABERT2_bpe_3e-5_prom_300_all_seed222,DNABERT2,3e-5,GUE,prom_300_all,222,0.9152027027027027,0.8305795525091537,0.9152019187540426,0.9153145217961872,0.9152650321873717,5.1385,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_notata_seed17/results/gue_DNABERT2_bpe_3e-5_prom_300_notata_seed17,DNABERT2,3e-5,GUE,prom_300_notata,17,0.9657056717542868,0.9314354430512597,0.9657040047040644,0.9656932476824992,0.9657421966549484,4.6139,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed223/results/gue_DNABERT2_bpe_3e-5_tf_4_seed223,DNABERT2,3e-5,GUE,tf_4,223,0.855,0.7204873692317799,0.8539447508247086,0.8655648233961487,0.855,0.2793,3.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_4_seed223/results/gue_DNABERT2_bpe_3e-5_mouse_4_seed223,DNABERT2,3e-5,GUE,mouse_4,223,0.724907063197026,0.4565745536936835,0.7228301393530201,0.7317654555264088,0.7248612963125916,0.5126,0.53
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_core_notata_seed222/results/gue_DNABERT2_bpe_3e-5_prom_core_notata_seed222,DNABERT2,3e-5,GUE,prom_core_notata,222,0.8332391181458451,0.6723376929424505,0.8325679691813797,0.8389871960765058,0.8333739287081781,4.0077,4.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_prom_300_tata_seed54/results/gue_DNABERT2_bpe_3e-5_prom_300_tata_seed54,DNABERT2,3e-5,GUE,prom_300_tata,54,0.8172920065252854,0.6346230011808455,0.8172331544424567,0.8172000085164368,0.817423031852562,0.5334,10.0
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/GUE/gue__3e-5_1_seed223/results/gue_DNABERT2_bpe_3e-5_tf_1_seed223,DNABERT2,3e-5,GUE,tf_1,223,0.846,0.6984897823190924,0.8452845959717734,0.8525202138758476,0.8460000000000001,0.298,3.0
