directory_name,model,lr,benchmark,task,seed,accuracy,mcc,f1,precision,recall,runtime,replicate_number,sequence_length,epoch,source_file
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H2AFZ_seed77/results/DNABERT1_6_3e-5_H2AFZ_seed77,DNABERT,3e-05,NTv2,H2AFZ,77.0,0.7406666666666667,0.4935523600857736,0.7377941726945547,0.7525889364872416,0.7410971908883875,10.7056,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/DNABERT1_6_3e-5_H2AFZ_seed42,DNABERT,3e-05,NTv2,H2AFZ,42.0,0.747,0.5026164087273391,0.7451001178897961,0.7553222236239978,0.7473572910499902,11.7019,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT/NTv2/dnabert1_6_3e-5_H2AFZ_seed73/results/DNABERT1_6_3e-5_H2AFZ_seed73,DNABERT,3e-05,NTv2,H2AFZ,73.0,0.753,0.514939384772725,0.7511161985064957,0.7616459915977842,0.7533600537608602,11.18,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H2AFZ_seed42,DNABERT2,3e-05,NTv2,H2AFZ,42.0,0.7503333333333333,0.5131049762476044,0.747621073090038,0.7624787684268655,0.7507600121601945,5.2248,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H2AFZ_seed17/results/DNABERT2__3e-5_H2AFZ_seed17,DNABERT2,3e-05,NTv2,H2AFZ,17.0,0.7506666666666667,0.5219009481300859,0.7461538461538462,0.7710664484903825,0.7512120193923103,5.4742,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H2AFZ_seed89/results/DNABERT2__3e-5_H2AFZ_seed89,DNABERT2,3e-05,NTv2,H2AFZ,89.0,0.7556666666666667,0.5248322936794437,0.7528368962923174,0.7688809656796252,0.7561067643748967,5.4086,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/DNABERT2/NTv2/DNABERT2__3e-5_H2AFZ_seed43/results/DNABERT2__3e-5_H2AFZ_seed43,DNABERT2,3e-05,NTv2,H2AFZ,43.0,0.7686666666666667,0.5381902837066829,0.7685477516448451,0.7694210442837768,0.7687696336474716,5.3968,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H2AFZ_seed42,GPT,3e-05,NTv2,H2AFZ,42.0,0.7406666666666667,0.4884940688652943,0.73902414261492,0.7475420732776252,0.7409958559336949,16.4634,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H2AFZ_seed77/results/GTP_3e-5_H2AFZ_seed77,GPT,3e-05,NTv2,H2AFZ,77.0,0.73,0.4714261196010856,0.7270858837138782,0.7411224550541731,0.7304250201336555,17.0519,,,3.0,combined_results_orig_07.21.2025.csv
/ocean/projects/bio230026p/lindseyl/TOKENIZATION_FINAL_PAPER/RESULTS/GPT/NTv2/GTP_3e-5_H2AFZ_seed26/results/GTP_3e-5_H2AFZ_seed26,GPT,3e-05,NTv2,H2AFZ,26.0,0.7406666666666667,0.490317496242757,0.7385804222497406,0.7493521612709226,0.7410358565737052,16.9407,,,3.0,combined_results_orig_07.21.2025.csv
