benchmark,task,model,learning_rate,batch_size,rc_aug,num_replicates,num_valid_replicates,num_nan_replicates,accuracy_mean,accuracy_std,mcc_mean,mcc_std,is_best
N/A,H2AFZ,CNN,0.001,64,False,3,3,0,0.72344442208608,0.0069388800474491285,0.4551517168680827,0.0025074309241271916,True
N/A,H2AFZ,Caduceus,0.001,128,False,3,3,0,0.7073333462079366,0.012251988660414074,0.42287542422612506,0.026189410392608994,False
N/A,H2AFZ,Caduceus,0.001,256,False,3,3,0,0.6963333288828532,0.006244984407220716,0.41813777883847547,0.011732668774855876,False
N/A,H2AFZ,Caduceus,0.0001,128,False,10,3,7,0.7073333263397217,0.0006666779518127441,0.4311076800028483,0.0045716204418300545,False
N/A,H2AFZ,Caduceus,0.0001,128,True,8,7,1,0.7082857063838414,0.001193013142352029,0.4316366272313254,0.0034640053201221476,True
N/A,H2AFZ,Caduceus,0.0001,256,False,3,3,0,0.7036666671435038,0.004702231969153184,0.4224521815776825,0.004525178310616879,False
N/A,H2AFZ,Caduceus,1e-05,128,False,3,3,0,0.6908888816833496,0.0005091967033144257,0.39095839858055115,0.0027555902653705077,False
N/A,H2AFZ,Caduceus,1e-05,256,False,3,3,0,0.6862222154935201,0.0019531372929948577,0.38102997342745465,0.0031038459935794965,False
N/A,H2AFZ,Caduceus,0.008,128,False,3,3,0,0.6183333396911621,0.0814234316249711,0.24978526681661603,0.14310526105282695,False
N/A,H2AFZ,Caduceus,0.008,256,False,3,3,0,0.512666662534078,0.017097743691217696,0.0465203672647476,0.08193973051312044,False
N/A,H2AFZ,HyenaDNA,0.0002,128,False,2,1,1,0.7366666793823242,0.0,0.4870782196521759,0.0,False
N/A,H2AFZ,HyenaDNA,0.0002,128,True,2,1,1,0.6923333406448364,0.0,0.3975936770439148,0.0,False
N/A,H2AFZ,HyenaDNA,0.0002,256,False,2,1,1,0.7463333606719971,0.0,0.4994648993015289,0.0,False
N/A,H2AFZ,HyenaDNA,0.0002,256,True,2,1,1,0.6926666498184204,0.0,0.3977864980697632,0.0,False
N/A,H2AFZ,HyenaDNA,0.006,128,True,3,3,0,0.6297777692476908,0.020443220228312173,0.26816876232624054,0.036907732979942647,False
N/A,H2AFZ,HyenaDNA,0.006,256,True,3,3,0,0.6081111033757528,0.060946566117320744,0.24538995325565335,0.09533446611991872,False
N/A,H2AFZ,HyenaDNA,0.0006,128,False,2,1,1,0.7403333187103271,0.0,0.4879906177520752,0.0,False
N/A,H2AFZ,HyenaDNA,0.0006,128,True,13,13,0,0.7021794869349554,0.0034870546391337254,0.41329295818622297,0.007263217348445096,True
N/A,H2AFZ,HyenaDNA,0.0006,256,False,2,1,1,0.7293333411216736,0.0,0.4836278557777405,0.0,False
N/A,H2AFZ,HyenaDNA,0.0006,256,True,11,11,0,0.6977272683923895,0.011451164155329893,0.40750716762109235,0.01976923995369666,False
N/A,H2AFZ,HyenaDNA,6e-05,128,True,3,3,0,0.6963333288828532,0.0013333261014141097,0.4040593107541402,0.003003499647867954,False
N/A,H2AFZ,HyenaDNA,6e-05,256,True,3,3,0,0.6952222188313802,0.005590989643956013,0.39775677522023517,0.010536471092633072,False
N/A,H2AFZ,Mamba-bpe,0.0001,128,True,3,3,0,0.6945555607477824,0.0026943149099198354,0.3972005844116211,0.011292571024894124,False
N/A,H2AFZ,Mamba-bpe,0.0001,256,True,3,3,0,0.6952222188313802,0.006946898803182708,0.40065372983614606,0.009835217687082152,False
N/A,H2AFZ,Mamba-bpe,0.0002,128,True,3,3,0,0.6874444484710693,0.011843096503077272,0.3823794523874919,0.014865980466261182,False
N/A,H2AFZ,Mamba-bpe,0.0002,256,True,3,3,0,0.6912222305933634,0.005014807166538022,0.3984389503796895,0.0053062945760193325,False
N/A,H2AFZ,Mamba-bpe,5e-05,128,True,13,13,0,0.6925641069045434,0.008901084219846119,0.4047017303796915,0.01280465394626862,True
N/A,H2AFZ,Mamba-bpe,5e-05,256,True,11,10,1,0.6926333367824554,0.009676815483600864,0.402090847492218,0.011054939471217731,False
N/A,H2AFZ,Mamba-char,0.01,128,True,13,13,0,0.5985640975145193,0.047593458862491535,0.2126016788757764,0.08949846813408992,False
N/A,H2AFZ,Mamba-char,0.01,256,True,2,1,1,0.6313333511352539,0.0,0.26660817861557,0.0,False
N/A,H2AFZ,Mamba-char,0.001,128,True,3,2,1,0.6846666634082794,0.008956668923898601,0.3952225595712662,0.018645323239310216,False
N/A,H2AFZ,Mamba-char,0.001,256,True,2,1,1,0.6953333616256714,0.0,0.3921999037265777,0.0,False
N/A,H2AFZ,Mamba-char,0.0001,128,True,15,15,0,0.6864666660626729,0.007995831430707619,0.3895945926507313,0.013090650670297563,False
N/A,H2AFZ,Mamba-char,0.0001,256,True,7,7,0,0.6891904813902718,0.005899959374073737,0.3889606297016144,0.006972745139582317,False
N/A,H2AFZ,Mamba-char,0.002,128,True,3,2,1,0.6879999935626984,0.0098994939250873,0.3893818259239197,0.031302169361101424,False
N/A,H2AFZ,Mamba-char,0.002,256,True,2,1,1,0.6579999923706055,0.0,0.3362394869327545,0.0,False
N/A,H2AFZ,Mamba-char,0.0003,128,True,7,7,0,0.6860952377319336,0.00860816046293548,0.38872115526880535,0.013000804220963858,False
N/A,H2AFZ,Mamba-char,0.0003,256,True,7,7,0,0.687619047505515,0.009789315862468454,0.3909837944167001,0.01075453258323779,False
N/A,H2AFZ,Mamba-char,0.0005,128,True,18,18,0,0.6878888838820987,0.010701538336109305,0.3915391051106982,0.014921715201032706,True
N/A,H2AFZ,Mamba-char,0.0005,256,True,7,7,0,0.6883333325386047,0.002659708378869149,0.3907221257686615,0.009339945085226857,False
N/A,H3K27ac,CNN,0.001,64,False,3,3,0,0.7042079170544943,0.004331678152118511,0.40928588310877484,0.009276137729424677,True
N/A,H3K27ac,Caduceus,0.001,128,False,10,3,7,0.7334983348846436,0.016152453950727164,0.4673660695552826,0.03233218539699217,True
N/A,H3K27ac,Caduceus,0.001,128,True,9,8,1,0.7220761105418205,0.010467335929648498,0.45328598842024803,0.009776287073511232,False
N/A,H3K27ac,Caduceus,0.001,256,False,3,3,0,0.7118399341901144,0.006955342261702825,0.4294411242008209,0.017694183341812286,False
N/A,H3K27ac,Caduceus,0.0001,128,False,3,3,0,0.7167904178301493,0.008780435596335168,0.4379049738248189,0.017440817807632826,False
N/A,H3K27ac,Caduceus,0.0001,256,False,3,3,0,0.7258663376172384,0.005903088529971336,0.45841342210769653,0.00589530396379321,False
N/A,H3K27ac,Caduceus,0.0001,256,True,4,3,1,0.7143151760101318,0.004346385566687428,0.4318809012571971,0.010687655598299964,False
N/A,H3K27ac,Caduceus,1e-05,128,False,3,3,0,0.681930681069692,0.002835735995810096,0.3657420376936595,0.004985494547404985,False
N/A,H3K27ac,Caduceus,1e-05,256,False,3,3,0,0.6703795393308004,0.0025763006427644885,0.34454524517059326,0.004936981967400876,False
N/A,H3K27ac,Caduceus,0.008,128,False,3,3,0,0.6243811845779419,0.02496047514113392,0.27545876304308575,0.0416375305373778,False
N/A,H3K27ac,Caduceus,0.008,256,False,3,3,0,0.5259901086489359,0.038060680716649656,0.10235261917114254,0.07910161433880623,False
N/A,H3K27ac,HyenaDNA,0.0002,128,False,2,1,1,0.7493811845779419,0.0,0.5149500370025635,0.0,False
N/A,H3K27ac,HyenaDNA,0.0002,128,True,2,1,1,0.7066831588745117,0.0,0.4193492233753204,0.0,False
N/A,H3K27ac,HyenaDNA,0.0002,256,False,2,1,1,0.7332921028137207,0.0,0.4676688611507416,0.0,False
N/A,H3K27ac,HyenaDNA,0.0002,256,True,2,1,1,0.7141088843345642,0.0,0.4351846575736999,0.0,False
N/A,H3K27ac,HyenaDNA,0.006,128,True,3,3,0,0.5724009871482849,0.09399219986327638,0.14733193814754486,0.19203561849725245,False
N/A,H3K27ac,HyenaDNA,0.006,256,True,3,3,0,0.6190181573232015,0.04935129901873794,0.24250211815039313,0.09407065344663317,False
N/A,H3K27ac,HyenaDNA,0.0006,128,False,2,1,1,0.7456682920455933,0.0,0.491970419883728,0.0,False
N/A,H3K27ac,HyenaDNA,0.0006,128,True,11,11,0,0.7020139477469705,0.008709057804242193,0.40663720260966907,0.01624734606537978,False
N/A,H3K27ac,HyenaDNA,0.0006,256,False,2,1,1,0.7351484894752502,0.0,0.4775196015834808,0.0,False
N/A,H3K27ac,HyenaDNA,0.0006,256,True,3,3,0,0.6982260743776957,0.012288274693067421,0.40228063861529034,0.024049359681989606,False
N/A,H3K27ac,HyenaDNA,6e-05,128,True,11,11,0,0.707301985133778,0.007614163309184014,0.4177355332808061,0.01478949179679657,False
N/A,H3K27ac,HyenaDNA,6e-05,256,True,13,13,0,0.7072067948488089,0.007757171772448069,0.42131732060359073,0.013341278857277197,True
N/A,H3K27ac,Mamba-bpe,0.0001,128,True,3,3,0,0.6854373017946879,0.007225372003598075,0.375686119000117,0.007381908533734679,False
N/A,H3K27ac,Mamba-bpe,0.0001,256,True,3,3,0,0.6817244291305542,0.006350995311407844,0.3715474307537079,0.00984682262554419,False
N/A,H3K27ac,Mamba-bpe,0.0002,128,True,3,3,0,0.6794554591178894,0.007136470737295301,0.3691336115201314,0.023374583539786123,False
N/A,H3K27ac,Mamba-bpe,0.0002,256,True,3,3,0,0.6736798683802286,0.0159256455400632,0.35611000657081604,0.03588880222311081,False
N/A,H3K27ac,Mamba-bpe,5e-05,128,True,3,2,1,0.6949257254600525,0.002625411487440611,0.39297664165496826,0.007949317097639743,False
N/A,H3K27ac,Mamba-bpe,5e-05,256,True,15,14,1,0.6932019123009273,0.005541087611599286,0.391704655119351,0.014489454925580509,True
N/A,H3K27ac,Mamba-char,0.01,128,True,3,2,1,0.5677599012851715,0.07394862661424359,0.16662157326936722,0.12428792685512459,False
N/A,H3K27ac,Mamba-char,0.01,256,True,2,1,1,0.6602723002433777,0.0,0.3264505565166473,0.0,False
N/A,H3K27ac,Mamba-char,0.001,128,True,3,2,1,0.6961633563041687,0.0,0.3950740545988083,0.003097940879520441,False
N/A,H3K27ac,Mamba-char,0.001,256,True,2,1,1,0.7042078971862793,0.0,0.408697634935379,0.0,False
N/A,H3K27ac,Mamba-char,0.0001,128,True,7,7,0,0.703058694090162,0.005057987683795778,0.41276391063417706,0.007903591928625978,False
N/A,H3K27ac,Mamba-char,0.0001,256,True,18,18,0,0.704861107799742,0.010068998579613958,0.41776931948131985,0.012511978658074836,True
N/A,H3K27ac,Mamba-char,0.002,128,True,3,2,1,0.6912128925323486,0.0,0.3917088955640793,0.01312463399341368,False
N/A,H3K27ac,Mamba-char,0.002,256,True,2,1,1,0.7165841460227966,0.0,0.4350972771644592,0.0,False
