task,run_name,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity,model,rc_aug
H2AFZ,CNN-LR-1e-3_BATCH_SIZE-64_RC_AUG-false,1,0.001,64,0.7256666421890259,0.4533032774925232,0.7363024950027466,0.7062077522277832,0.7690762877464294,0.6826029419898987,CNN,False
H2AFZ,CNN-LR-1e-3_BATCH_SIZE-64_RC_AUG-false,2,0.001,64,0.7289999723434448,0.4580058753490448,0.7259858250617981,0.7311608791351318,0.7208835482597351,0.737051784992218,CNN,False
H2AFZ,CNN-LR-1e-3_BATCH_SIZE-64_RC_AUG-false,3,0.001,64,0.715666651725769,0.45414599776268,0.7528252601623535,0.6637710928916931,0.8694779276847839,0.5630810260772705,CNN,False
H2AFZ,caduceus_ps_LR-1e-4_BATCH_SIZE-128_RC_AUG-True,1,0.0001,128,0.7073333263397217,0.4281433820724487,0.7382230162620544,0.6655914187431335,0.8286479115486145,0.5869854092597961,Caduceus,True
H2AFZ,caduceus_ps_LR-1e-4_BATCH_SIZE-128_RC_AUG-True,2,0.0001,128,0.7080000042915344,0.4363726079463959,0.7449039220809937,0.6592783331871033,0.8560910224914551,0.5610889792442322,Caduceus,True
H2AFZ,caduceus_ps_LR-1e-4_BATCH_SIZE-128_RC_AUG-True,3,0.0001,128,0.7066666483879089,0.4288070499897003,0.7396449446678162,0.662778377532959,0.8366800546646118,0.5776892304420471,Caduceus,True
H2AFZ,caduceus_ps_LR-1e-4_BATCH_SIZE-128_RC_AUG-True,4,0.0001,128,0.7099999785423279,0.4321580827236175,0.7390521764755249,0.6695652008056641,0.8246318697929382,0.5962815284729004,Caduceus,True
H2AFZ,caduceus_ps_LR-1e-4_BATCH_SIZE-128_RC_AUG-True,5,0.0001,128,0.7096666693687439,0.4357706010341644,0.7429920434951782,0.6643799543380737,0.842704176902771,0.5776892304420471,Caduceus,True
H2AFZ,caduceus_ps_LR-1e-4_BATCH_SIZE-128_RC_AUG-True,6,0.0001,128,0.7080000042915344,0.4281934797763824,0.7374100685119629,0.6677524447441101,0.823293149471283,0.5936254858970642,Caduceus,True
H2AFZ,caduceus_ps_LR-1e-4_BATCH_SIZE-128_RC_AUG-True,7,0.0001,128,0.7083333134651184,0.4320111870765686,0.7408942580223083,0.6643653512001038,0.8373494148254395,0.5803452730178833,Caduceus,True
