task,model,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,10,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,1,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,2,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,3,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,4,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,5,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,6,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,7,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,8,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,9,1e-5,128,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,10,1e-5,256,,,N/A,N/A,N/A,N/A
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,1,1e-5,256,,,N/A,N/A,N/A,N/A
