task,model,learning_rate,batch_size,rc_aug,total_seeds,mcc_nans,acc_nans,mcc_success_rate,acc_success_rate
H2AFZ,CNN,0.001,64,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,0.0001,128,True,8,1,1,0.875,0.875
H2AFZ,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H2AFZ,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H2AFZ,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H2AFZ,HyenaDNA,6e-05,256,True,3,0,0,1.0,1.0
H2AFZ,HyenaDNA,0.0002,128,False,2,1,1,0.5,0.5
H2AFZ,HyenaDNA,0.0002,128,True,2,1,1,0.5,0.5
H2AFZ,HyenaDNA,0.0002,256,False,2,1,1,0.5,0.5
H2AFZ,HyenaDNA,0.0002,256,True,2,1,1,0.5,0.5
H2AFZ,HyenaDNA,0.0006,128,False,2,1,1,0.5,0.5
H2AFZ,HyenaDNA,0.0006,128,True,13,0,0,1.0,1.0
H2AFZ,HyenaDNA,0.0006,256,False,2,1,1,0.5,0.5
H2AFZ,HyenaDNA,0.0006,256,True,11,0,0,1.0,1.0
H2AFZ,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H2AFZ,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H2AFZ,Mamba-bpe,5e-05,128,True,13,0,0,1.0,1.0
H2AFZ,Mamba-bpe,5e-05,256,True,11,1,1,0.9090909090909091,0.9090909090909091
H2AFZ,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H2AFZ,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H2AFZ,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H2AFZ,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H2AFZ,Mamba-char,0.0001,128,True,15,0,0,1.0,1.0
H2AFZ,Mamba-char,0.0001,256,True,7,0,0,1.0,1.0
H2AFZ,Mamba-char,0.0003,128,True,7,0,0,1.0,1.0
H2AFZ,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H2AFZ,Mamba-char,0.0005,128,True,15,0,0,1.0,1.0
H2AFZ,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H2AFZ,Mamba-char,0.001,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H2AFZ,Mamba-char,0.001,256,True,2,1,1,0.5,0.5
H2AFZ,Mamba-char,0.002,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H2AFZ,Mamba-char,0.002,256,True,2,1,1,0.5,0.5
H2AFZ,Mamba-char,0.01,128,True,13,0,0,1.0,1.0
H2AFZ,Mamba-char,0.01,256,True,2,1,1,0.5,0.5
H3K27ac,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,0.0001,256,True,4,1,1,0.75,0.75
H3K27ac,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,0.001,128,True,9,1,1,0.8888888888888888,0.8888888888888888
H3K27ac,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K27ac,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K27ac,HyenaDNA,6e-05,128,True,11,0,0,1.0,1.0
H3K27ac,HyenaDNA,6e-05,256,True,13,0,0,1.0,1.0
H3K27ac,HyenaDNA,0.0002,128,False,2,1,1,0.5,0.5
H3K27ac,HyenaDNA,0.0002,128,True,2,1,1,0.5,0.5
H3K27ac,HyenaDNA,0.0002,256,False,2,1,1,0.5,0.5
H3K27ac,HyenaDNA,0.0002,256,True,2,1,1,0.5,0.5
H3K27ac,HyenaDNA,0.0006,128,False,2,1,1,0.5,0.5
H3K27ac,HyenaDNA,0.0006,128,True,11,0,0,1.0,1.0
H3K27ac,HyenaDNA,0.0006,256,False,2,1,1,0.5,0.5
H3K27ac,HyenaDNA,0.0006,256,True,3,0,0,1.0,1.0
H3K27ac,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K27ac,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K27ac,Mamba-bpe,5e-05,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K27ac,Mamba-bpe,5e-05,256,True,13,1,1,0.9230769230769231,0.9230769230769231
H3K27ac,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H3K27ac,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H3K27ac,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K27ac,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K27ac,Mamba-char,0.0001,128,True,7,0,0,1.0,1.0
H3K27ac,Mamba-char,0.0001,256,True,15,0,0,1.0,1.0
H3K27ac,Mamba-char,0.0003,128,True,7,0,0,1.0,1.0
H3K27ac,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H3K27ac,Mamba-char,0.0005,128,True,7,0,0,1.0,1.0
H3K27ac,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H3K27ac,Mamba-char,0.001,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K27ac,Mamba-char,0.001,256,True,2,1,1,0.5,0.5
H3K27ac,Mamba-char,0.002,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K27ac,Mamba-char,0.002,256,True,2,1,1,0.5,0.5
H3K27ac,Mamba-char,0.01,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K27ac,Mamba-char,0.01,256,True,2,1,1,0.5,0.5
H3K27me3,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,0.001,128,True,8,1,1,0.875,0.875
H3K27me3,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K27me3,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K27me3,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H3K27me3,HyenaDNA,6e-05,256,True,13,0,0,1.0,1.0
H3K27me3,HyenaDNA,0.0002,128,False,2,1,1,0.5,0.5
H3K27me3,HyenaDNA,0.0002,128,True,2,1,1,0.5,0.5
H3K27me3,HyenaDNA,0.0002,256,False,2,1,1,0.5,0.5
H3K27me3,HyenaDNA,0.0002,256,True,2,1,1,0.5,0.5
H3K27me3,HyenaDNA,0.0006,128,False,2,1,1,0.5,0.5
H3K27me3,HyenaDNA,0.0006,128,True,3,0,0,1.0,1.0
H3K27me3,HyenaDNA,0.0006,256,False,2,1,1,0.5,0.5
H3K27me3,HyenaDNA,0.0006,256,True,3,0,0,1.0,1.0
H3K27me3,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K27me3,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K27me3,Mamba-bpe,5e-05,128,True,13,0,0,1.0,1.0
H3K27me3,Mamba-bpe,5e-05,256,True,3,0,0,1.0,1.0
H3K27me3,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H3K27me3,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H3K27me3,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K27me3,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K27me3,Mamba-char,0.0001,128,True,7,0,0,1.0,1.0
H3K27me3,Mamba-char,0.0001,256,True,7,0,0,1.0,1.0
H3K27me3,Mamba-char,0.0003,128,True,7,0,0,1.0,1.0
H3K27me3,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H3K27me3,Mamba-char,0.0005,128,True,15,0,0,1.0,1.0
H3K27me3,Mamba-char,0.0005,256,True,15,0,0,1.0,1.0
H3K27me3,Mamba-char,0.001,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K27me3,Mamba-char,0.001,256,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K27me3,Mamba-char,0.002,128,True,2,0,0,1.0,1.0
H3K27me3,Mamba-char,0.002,256,True,2,1,1,0.5,0.5
H3K27me3,Mamba-char,0.01,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K27me3,Mamba-char,0.01,256,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K36me3,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,0.001,256,True,8,1,1,0.875,0.875
H3K36me3,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K36me3,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K36me3,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H3K36me3,HyenaDNA,6e-05,256,True,3,0,0,1.0,1.0
H3K36me3,HyenaDNA,0.0002,128,False,2,1,1,0.5,0.5
H3K36me3,HyenaDNA,0.0002,128,True,2,1,1,0.5,0.5
H3K36me3,HyenaDNA,0.0002,256,False,2,1,1,0.5,0.5
H3K36me3,HyenaDNA,0.0002,256,True,2,1,1,0.5,0.5
H3K36me3,HyenaDNA,0.0006,128,False,2,1,1,0.5,0.5
H3K36me3,HyenaDNA,0.0006,128,True,11,0,0,1.0,1.0
H3K36me3,HyenaDNA,0.0006,256,False,2,1,1,0.5,0.5
H3K36me3,HyenaDNA,0.0006,256,True,13,0,0,1.0,1.0
H3K36me3,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K36me3,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K36me3,Mamba-bpe,5e-05,128,True,13,0,0,1.0,1.0
H3K36me3,Mamba-bpe,5e-05,256,True,3,0,0,1.0,1.0
H3K36me3,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H3K36me3,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H3K36me3,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K36me3,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K36me3,Mamba-char,0.0001,128,True,15,0,0,1.0,1.0
H3K36me3,Mamba-char,0.0001,256,True,7,0,0,1.0,1.0
H3K36me3,Mamba-char,0.0003,128,True,15,0,0,1.0,1.0
H3K36me3,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H3K36me3,Mamba-char,0.0005,128,True,7,0,0,1.0,1.0
H3K36me3,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H3K36me3,Mamba-char,0.001,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K36me3,Mamba-char,0.001,256,True,2,1,1,0.5,0.5
H3K36me3,Mamba-char,0.002,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K36me3,Mamba-char,0.002,256,True,2,1,1,0.5,0.5
H3K36me3,Mamba-char,0.01,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K36me3,Mamba-char,0.01,256,True,2,1,1,0.5,0.5
H3K4me1,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,0.001,128,True,13,2,2,0.8461538461538461,0.8461538461538461
H3K4me1,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K4me1,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K4me1,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H3K4me1,HyenaDNA,6e-05,256,True,3,0,0,1.0,1.0
H3K4me1,HyenaDNA,0.0002,128,False,2,1,1,0.5,0.5
H3K4me1,HyenaDNA,0.0002,128,True,2,1,1,0.5,0.5
H3K4me1,HyenaDNA,0.0002,256,False,2,1,1,0.5,0.5
H3K4me1,HyenaDNA,0.0002,256,True,2,1,1,0.5,0.5
H3K4me1,HyenaDNA,0.0006,128,False,2,1,1,0.5,0.5
H3K4me1,HyenaDNA,0.0006,128,True,11,0,0,1.0,1.0
H3K4me1,HyenaDNA,0.0006,256,False,2,1,1,0.5,0.5
H3K4me1,HyenaDNA,0.0006,256,True,13,0,0,1.0,1.0
H3K4me1,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K4me1,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K4me1,Mamba-bpe,5e-05,128,True,13,0,0,1.0,1.0
H3K4me1,Mamba-bpe,5e-05,256,True,3,0,0,1.0,1.0
H3K4me1,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H3K4me1,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H3K4me1,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K4me1,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K4me1,Mamba-char,0.0001,128,True,15,0,0,1.0,1.0
H3K4me1,Mamba-char,0.0001,256,True,7,0,0,1.0,1.0
H3K4me1,Mamba-char,0.0003,128,True,7,0,0,1.0,1.0
H3K4me1,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H3K4me1,Mamba-char,0.0005,128,True,7,0,0,1.0,1.0
H3K4me1,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H3K4me1,Mamba-char,0.001,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me1,Mamba-char,0.001,256,True,2,1,1,0.5,0.5
H3K4me1,Mamba-char,0.002,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me1,Mamba-char,0.002,256,True,2,1,1,0.5,0.5
H3K4me1,Mamba-char,0.01,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me1,Mamba-char,0.01,256,True,2,1,1,0.5,0.5
H3K4me2,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,0.001,128,True,8,1,1,0.875,0.875
H3K4me2,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K4me2,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K4me2,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H3K4me2,HyenaDNA,6e-05,256,True,3,0,0,1.0,1.0
H3K4me2,HyenaDNA,0.0002,128,False,2,1,1,0.5,0.5
H3K4me2,HyenaDNA,0.0002,128,True,2,1,1,0.5,0.5
H3K4me2,HyenaDNA,0.0002,256,False,2,1,1,0.5,0.5
H3K4me2,HyenaDNA,0.0002,256,True,2,1,1,0.5,0.5
H3K4me2,HyenaDNA,0.0006,128,False,2,1,1,0.5,0.5
H3K4me2,HyenaDNA,0.0006,128,True,13,0,0,1.0,1.0
H3K4me2,HyenaDNA,0.0006,256,False,2,1,1,0.5,0.5
H3K4me2,HyenaDNA,0.0006,256,True,11,0,0,1.0,1.0
H3K4me2,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K4me2,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K4me2,Mamba-bpe,5e-05,128,True,3,0,0,1.0,1.0
H3K4me2,Mamba-bpe,5e-05,256,True,13,1,1,0.9230769230769231,0.9230769230769231
H3K4me2,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H3K4me2,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H3K4me2,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K4me2,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K4me2,Mamba-char,0.0001,128,True,7,0,0,1.0,1.0
H3K4me2,Mamba-char,0.0001,256,True,15,0,0,1.0,1.0
H3K4me2,Mamba-char,0.0003,128,True,7,0,0,1.0,1.0
H3K4me2,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H3K4me2,Mamba-char,0.0005,128,True,7,0,0,1.0,1.0
H3K4me2,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H3K4me2,Mamba-char,0.001,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me2,Mamba-char,0.001,256,True,2,1,1,0.5,0.5
H3K4me2,Mamba-char,0.002,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me2,Mamba-char,0.002,256,True,2,1,1,0.5,0.5
H3K4me2,Mamba-char,0.01,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me2,Mamba-char,0.01,256,True,2,1,1,0.5,0.5
H3K4me3,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,0.0001,128,True,10,0,0,1.0,1.0
H3K4me3,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,0.0001,256,True,7,1,1,0.8571428571428571,0.8571428571428571
H3K4me3,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K4me3,Caduceus,0.01,128,False,2,1,1,0.5,0.5
H3K4me3,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H3K4me3,HyenaDNA,6e-05,256,True,3,0,0,1.0,1.0
H3K4me3,HyenaDNA,0.0002,128,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me3,HyenaDNA,0.0002,128,True,11,0,0,1.0,1.0
H3K4me3,HyenaDNA,0.0002,256,False,3,0,0,1.0,1.0
H3K4me3,HyenaDNA,0.0002,256,True,13,1,1,0.9230769230769231,0.9230769230769231
H3K4me3,HyenaDNA,0.0006,128,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me3,HyenaDNA,0.0006,128,True,3,0,0,1.0,1.0
H3K4me3,HyenaDNA,0.0006,256,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me3,HyenaDNA,0.0006,256,True,11,0,0,1.0,1.0
H3K4me3,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K4me3,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K4me3,Mamba-bpe,5e-05,128,True,3,0,0,1.0,1.0
H3K4me3,Mamba-bpe,5e-05,256,True,13,0,0,1.0,1.0
H3K4me3,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H3K4me3,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H3K4me3,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K4me3,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K4me3,Mamba-char,0.0001,128,True,7,0,0,1.0,1.0
H3K4me3,Mamba-char,0.0001,256,True,15,0,0,1.0,1.0
H3K4me3,Mamba-char,0.0003,128,True,7,0,0,1.0,1.0
H3K4me3,Mamba-char,0.0003,256,True,15,0,0,1.0,1.0
H3K4me3,Mamba-char,0.0005,128,True,7,0,0,1.0,1.0
H3K4me3,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H3K4me3,Mamba-char,0.001,128,True,3,0,0,1.0,1.0
H3K4me3,Mamba-char,0.001,256,True,13,0,0,1.0,1.0
H3K4me3,Mamba-char,0.002,128,True,3,0,0,1.0,1.0
H3K4me3,Mamba-char,0.002,256,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K4me3,Mamba-char,0.01,128,True,3,0,0,1.0,1.0
H3K4me3,Mamba-char,0.01,256,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,0.0001,256,True,8,1,1,0.875,0.875
H3K9ac,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K9ac,Caduceus,0.01,128,False,2,1,1,0.5,0.5
H3K9ac,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H3K9ac,HyenaDNA,6e-05,256,True,3,0,0,1.0,1.0
H3K9ac,HyenaDNA,0.0002,128,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,HyenaDNA,0.0002,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,HyenaDNA,0.0002,256,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,HyenaDNA,0.0002,256,True,13,1,1,0.9230769230769231,0.9230769230769231
H3K9ac,HyenaDNA,0.0006,128,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,HyenaDNA,0.0006,128,True,3,0,0,1.0,1.0
H3K9ac,HyenaDNA,0.0006,256,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,HyenaDNA,0.0006,256,True,3,0,0,1.0,1.0
H3K9ac,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K9ac,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K9ac,Mamba-bpe,5e-05,128,True,13,0,0,1.0,1.0
H3K9ac,Mamba-bpe,5e-05,256,True,3,0,0,1.0,1.0
H3K9ac,Mamba-bpe,0.0001,128,True,3,0,0,1.0,1.0
H3K9ac,Mamba-bpe,0.0001,256,True,3,0,0,1.0,1.0
H3K9ac,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K9ac,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K9ac,Mamba-char,0.0001,128,True,7,0,0,1.0,1.0
H3K9ac,Mamba-char,0.0001,256,True,7,0,0,1.0,1.0
H3K9ac,Mamba-char,0.0003,128,True,15,0,0,1.0,1.0
H3K9ac,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H3K9ac,Mamba-char,0.0005,128,True,15,0,0,1.0,1.0
H3K9ac,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H3K9ac,Mamba-char,0.001,128,True,13,0,0,1.0,1.0
H3K9ac,Mamba-char,0.001,256,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,Mamba-char,0.002,128,True,3,0,0,1.0,1.0
H3K9ac,Mamba-char,0.002,256,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,Mamba-char,0.01,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K9ac,Mamba-char,0.01,256,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K9me3,CNN,0.001,64,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,1e-05,128,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,1e-05,256,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,0.0001,128,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,0.0001,256,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,0.001,128,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,0.001,256,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,0.001,256,True,10,1,1,0.9,0.9
H3K9me3,Caduceus,0.008,128,False,3,0,0,1.0,1.0
H3K9me3,Caduceus,0.008,256,False,3,0,0,1.0,1.0
H3K9me3,HyenaDNA,6e-05,128,True,3,0,0,1.0,1.0
H3K9me3,HyenaDNA,6e-05,256,True,3,0,0,1.0,1.0
H3K9me3,HyenaDNA,0.0002,128,False,2,1,1,0.5,0.5
H3K9me3,HyenaDNA,0.0002,128,True,2,1,1,0.5,0.5
H3K9me3,HyenaDNA,0.0002,256,False,2,1,1,0.5,0.5
H3K9me3,HyenaDNA,0.0002,256,True,2,1,1,0.5,0.5
H3K9me3,HyenaDNA,0.0006,128,False,2,1,1,0.5,0.5
H3K9me3,HyenaDNA,0.0006,128,True,3,0,0,1.0,1.0
H3K9me3,HyenaDNA,0.0006,256,False,3,1,1,0.6666666666666666,0.6666666666666666
H3K9me3,HyenaDNA,0.0006,256,True,13,0,0,1.0,1.0
H3K9me3,HyenaDNA,0.006,128,True,3,0,0,1.0,1.0
H3K9me3,HyenaDNA,0.006,256,True,3,0,0,1.0,1.0
H3K9me3,Mamba-bpe,5e-05,128,True,3,0,0,1.0,1.0
H3K9me3,Mamba-bpe,5e-05,256,True,3,0,0,1.0,1.0
H3K9me3,Mamba-bpe,0.0001,128,True,13,0,0,1.0,1.0
H3K9me3,Mamba-bpe,0.0001,256,True,13,0,0,1.0,1.0
H3K9me3,Mamba-bpe,0.0002,128,True,3,0,0,1.0,1.0
H3K9me3,Mamba-bpe,0.0002,256,True,3,0,0,1.0,1.0
H3K9me3,Mamba-char,0.0001,128,True,7,0,0,1.0,1.0
H3K9me3,Mamba-char,0.0001,256,True,7,0,0,1.0,1.0
H3K9me3,Mamba-char,0.0003,128,True,15,0,0,1.0,1.0
H3K9me3,Mamba-char,0.0003,256,True,7,0,0,1.0,1.0
H3K9me3,Mamba-char,0.0005,128,True,7,0,0,1.0,1.0
H3K9me3,Mamba-char,0.0005,256,True,7,0,0,1.0,1.0
H3K9me3,Mamba-char,0.001,128,True,3,1,1,0.6666666666666666,0.6666666666666666
H3K9me3,Mamba-char,0.001,256,True,2,1,1,0.5,0.5
H3K9me3,Mamba-char,0.002,128,True,3,1,1,0.6666666666666666,0.6666666666666666
