Initial dataset: 11705 rows
Found 225 failed hyperparameter combinations:
  H2AFZ | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H2AFZ | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H2AFZ | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H2AFZ | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K27ac | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K27ac | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K27ac | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H3K27ac | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K27me3 | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K27me3 | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K27me3 | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H3K27me3 | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K36me3 | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K36me3 | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K36me3 | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H3K36me3 | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K4me1 | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K4me1 | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K4me1 | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H3K4me1 | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K4me2 | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K4me2 | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K4me2 | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H3K4me2 | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K4me3 | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K4me3 | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K4me3 | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K9ac | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K9ac | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K9ac | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H3K9me3 | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H3K9me3 | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H3K9me3 | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H3K9me3 | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  H4K20me1 | Caduceus | lr=0.002 | batch_size=128 | rc_aug=False
  H4K20me1 | Caduceus | lr=0.002 | batch_size=256 | rc_aug=False
  H4K20me1 | Caduceus | lr=0.01 | batch_size=128 | rc_aug=False
  H4K20me1 | Caduceus | lr=0.01 | batch_size=256 | rc_aug=False
  demo_coding_vs_intergenomic_seqs | Mamba-bpe | lr=2e-05 | batch_size=128 | rc_aug=True
  demo_coding_vs_intergenomic_seqs | Mamba-bpe | lr=2e-05 | batch_size=256 | rc_aug=True
  demo_coding_vs_intergenomic_seqs | Mamba-char | lr=0.0001 | batch_size=128 | rc_aug=True
  demo_coding_vs_intergenomic_seqs | Mamba-char | lr=0.0001 | batch_size=256 | rc_aug=True
  demo_coding_vs_intergenomic_seqs | Mamba-char | lr=0.0002 | batch_size=128 | rc_aug=True
  demo_coding_vs_intergenomic_seqs | Mamba-char | lr=0.0002 | batch_size=256 | rc_aug=True
  demo_human_or_worm | Mamba-bpe | lr=2e-05 | batch_size=128 | rc_aug=True
  demo_human_or_worm | Mamba-bpe | lr=2e-05 | batch_size=256 | rc_aug=True
  demo_human_or_worm | Mamba-char | lr=0.0001 | batch_size=128 | rc_aug=True
  demo_human_or_worm | Mamba-char | lr=0.0001 | batch_size=256 | rc_aug=True
  demo_human_or_worm | Mamba-char | lr=0.0002 | batch_size=128 | rc_aug=True
  demo_human_or_worm | Mamba-char | lr=0.0002 | batch_size=256 | rc_aug=True
  dummy_mouse_enhancers_ensembl | Mamba-bpe | lr=2e-05 | batch_size=128 | rc_aug=True
  dummy_mouse_enhancers_ensembl | Mamba-bpe | lr=2e-05 | batch_size=256 | rc_aug=True
  dummy_mouse_enhancers_ensembl | Mamba-char | lr=0.0001 | batch_size=128 | rc_aug=True
  dummy_mouse_enhancers_ensembl | Mamba-char | lr=0.0001 | batch_size=256 | rc_aug=True
  dummy_mouse_enhancers_ensembl | Mamba-char | lr=0.0002 | batch_size=128 | rc_aug=True
  dummy_mouse_enhancers_ensembl | Mamba-char | lr=0.0002 | batch_size=256 | rc_aug=True
  emp_H3 | Mamba-bpe | lr=1e-05 | batch_size=128 | rc_aug=True
  emp_H3 | Mamba-bpe | lr=1e-05 | batch_size=256 | rc_aug=True
  emp_H3 | Mamba-bpe | lr=2e-05 | batch_size=128 | rc_aug=True
  emp_H3 | Mamba-bpe | lr=2e-05 | batch_size=256 | rc_aug=True
  emp_H3 | Mamba-char | lr=0.0001 | batch_size=128 | rc_aug=True
  emp_H3 | Mamba-char | lr=0.0001 | batch_size=256 | rc_aug=True
  emp_H3 | Mamba-char | lr=0.0002 | batch_size=128 | rc_aug=True
  emp_H3 | Mamba-char | lr=0.0002 | batch_size=256 | rc_aug=True
  emp_H3K14ac | Mamba-bpe | lr=1e-05 | batch_size=128 | rc_aug=True
