task,run_name,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity,model,rc_aug
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,10,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,1,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,2,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,3,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,4,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,5,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,6,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,7,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,8,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,9,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,10,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,1,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,2,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,3,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,4,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,5,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,6,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,7,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,8,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,9,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-4_batch_size-128_rc_aug-true,1,0.0001,128,0.8916800022125244,0.7836232781410217,0.893065869808197,0.8817841410636902,0.904640018939972,0.8787199854850769,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-4_batch_size-128_rc_aug-true,2,0.0001,128,0.8924400210380554,0.7859663963317871,0.8895370364189148,0.9142109155654908,0.866159975528717,0.918720006942749,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-4_batch_size-128_rc_aug-true,3,0.0001,128,0.8902000188827515,0.7811927795410156,0.8926182389259338,0.8733828663825989,0.912720024585724,0.867680013179779,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-4_batch_size-256_rc_aug-true,1,0.0001,256,0.8931599855422974,0.786704957485199,0.8914624452590942,0.9058551788330078,0.8775200247764587,0.9088000059127808,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-4_batch_size-256_rc_aug-true,2,0.0001,256,0.8959599733352661,0.7919595837593079,0.8954371809959412,0.8999596238136292,0.8909599781036377,0.9009600281715392,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-4_batch_size-256_rc_aug-true,3,0.0001,256,0.8952800035476685,0.7906215786933899,0.8946224451065063,0.9002754092216492,0.8890399932861328,0.901520013809204,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-128_rc_aug-true,1,1e-05,128,0.8962000012397766,0.7924034595489502,0.8963534235954285,0.8950307369232178,0.8976799845695496,0.8947200179100037,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-128_rc_aug-true,2,1e-05,128,0.8960000276565552,0.7920767664909363,0.8967188596725464,0.8905633687973022,0.9029600024223328,0.8890399932861328,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-128_rc_aug-true,3,1e-05,128,0.894760012626648,0.789989709854126,0.892913818359375,0.9088574051856996,0.8775200247764587,0.9120000004768372,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,10,1e-05,256,0.8963599801063538,0.79273921251297,0.8967193961143494,0.8936204314231873,0.8998399972915649,0.8928800225257874,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-true,1,1e-05,256,0.8971999883651733,0.7944484353065491,0.8966293931007385,0.9016340374946594,0.8916800022125244,0.9027199745178224,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,1,1e-05,256,0.897599995136261,0.7952342629432678,0.8980729579925537,0.8939442038536072,0.902239978313446,0.8929600119590759,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-true,2,1e-05,256,0.8959599733352661,0.7922217845916748,0.8945041298866272,0.9071986675262452,0.8821600079536438,0.9097599983215332,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,2,1e-05,256,0.8949999809265137,0.7903444170951843,0.8965272307395935,0.8836739659309387,0.9097599983215332,0.8802400231361389,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-true,3,1e-05,256,0.8963199853897095,0.7926429510116577,0.8961787819862366,0.8974009156227112,0.8949599862098694,0.8976799845695496,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,3,1e-05,256,0.8942800164222717,0.7886444926261902,0.8935004472732544,0.9001380205154419,0.8869600296020508,0.9016000032424928,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,4,1e-05,256,0.896120011806488,0.7922438383102417,0.8962817788124084,0.8948879241943359,0.8976799845695496,0.8945599794387817,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,5,1e-05,256,0.8971999883651733,0.7946051359176636,0.8960187435150146,0.906434178352356,0.8858399987220764,0.9085599780082704,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,6,1e-05,256,0.895039975643158,0.7901893854141235,0.8941593766212463,0.9017246961593628,0.8867200016975403,0.9033600091934204,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,7,1e-05,256,0.8958799839019775,0.7917694449424744,0.8956253528594971,0.8978213667869568,0.8934400081634521,0.8983200192451477,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,8,1e-05,256,0.8981599807739258,0.7963236570358276,0.8983145356178284,0.896953284740448,0.8996800184249878,0.8966400027275085,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-1e-5_batch_size-256_rc_aug-True,9,1e-05,256,0.8957200050354004,0.7914400100708008,0.8957158327102661,0.8957516551017761,0.8956800103187561,0.8957599997520447,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-128_rc_aug-true,1,5e-05,128,0.8888000249862671,0.7777097821235657,0.8878580331802368,0.8954434394836426,0.8804000020027161,0.8971999883651733,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-128_rc_aug-true,2,5e-05,128,0.8934800028800964,0.788316547870636,0.8902624845504761,0.9179909825325012,0.8641600012779236,0.9228000044822692,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-128_rc_aug-true,3,5e-05,128,0.8949599862098694,0.790040135383606,0.8958680033683777,0.888189971446991,0.9036800265312196,0.8862400054931641,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-256_rc_aug-true,1,5e-05,256,0.8928400278091431,0.7860413789749146,0.8944402933120728,0.8812795877456665,0.9079999923706056,0.8776800036430359,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-256_rc_aug-true,2,5e-05,256,0.8976399898529053,0.7955865859985352,0.8961992263793945,0.908993661403656,0.8837599754333496,0.9115200042724608,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_4L_new1_lr-5e-5_batch_size-256_rc_aug-true,3,5e-05,256,0.8952400088310242,0.7909950017929077,0.8933154344558716,0.9100340008735656,0.8772000074386597,0.9132800102233888,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,10,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,1,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,2,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,3,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,4,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,5,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,6,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,7,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,8,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-128_rc_aug-true,9,1e-05,128,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,10,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,1,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,2,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,3,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,4,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,5,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,6,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,7,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,8,1e-05,256,,,,,,,Mamba-bpe,True
demo_coding_vs_intergenomic_seqs,mamba_bpe_4k_d256_8L_lr-1e-5_batch_size-256_rc_aug-true,9,1e-05,256,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,10,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,1,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,2,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,3,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,4,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,5,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,6,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,7,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,8,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-128_rc_aug-true,9,1e-05,128,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,10,1e-05,256,,,,,,,Mamba-bpe,True
demo_human_or_worm,mamba_bpe_4k_d256_4L_lr-1e-5_batch_size-256_rc_aug-true,1,1e-05,256,,,,,,,Mamba-bpe,True
