task,task_display,category,n_paired,mean_bpe,mean_char,mean_diff,std_diff,t_statistic,p_value,superior,bonferroni_sig
demo_coding_vs_intergenomic,coding vs intergenomic,coding,10,0.7928623855113983,0.7636532545089721,-0.02920913100242615,0.1390710268517756,-0.6641741600164542,0.5232283475749493,ns,False
dummy_mouse_enhancers,dummy mouse enhancers,enhancers,10,0.5477421045303345,0.5636021733283997,0.015860068798065185,0.05606264859961314,0.8946052764478413,0.39429310653394967,ns,False
enhancers,enhancers,enhancers,10,0.4855441331863403,0.48775344491004946,0.0022093117237091176,0.011919521005578094,0.5861357268437143,0.5721888482401094,ns,False
enhancers_types,enhancers types,enhancers,10,0.4465849190950394,0.46368162930011747,0.017096710205078153,0.01619738463177766,3.337856448615916,0.008689755093159057,ns,False
human_enhancers_cohn,human enhancers cohn,enhancers,10,0.4783231973648071,0.47225798666477203,-0.006065210700035106,0.010082785879572898,-1.9022401675505662,0.08956665965528472,ns,False
human_enhancers_ensembl,human enhancers ensembl,enhancers,10,0.733812940120697,0.7380918264389038,0.004278886318206787,0.05920234871793602,0.2285555709779817,0.8243230274679707,ns,False
H2AFZ,H2AFZ,epigenetic marks,10,0.4050890922546387,0.39131985008716585,-0.013769242167472866,0.01951352426227341,-2.2313840554076845,0.05257784009819358,ns,False
H3K27ac,H3K27ac,epigenetic marks,10,0.3848871499300003,0.41801000833511354,0.033122858405113226,0.0191220584234886,5.477635977032053,0.0003913621524402696,char,True
H3K27me3,H3K27me3,epigenetic marks,10,0.5332214415073395,0.5329167783260346,-0.0003046631813049316,0.00948816595298497,-0.10154012660511272,0.9213479224640106,ns,False
H3K36me3,H3K36me3,epigenetic marks,10,0.4903007596731186,0.4862596958875656,-0.004041063785552951,0.01720312534866597,-0.7428281474075589,0.47652642390901034,ns,False
H3K4me1,H3K4me1,epigenetic marks,10,0.4052510350942612,0.40683944821357726,0.0015884131193161066,0.006914981172613724,0.7263943598610116,0.4860584740214581,ns,False
H3K4me2,H3K4me2,epigenetic marks,10,0.4745543360710144,0.45561376214027405,-0.01894057393074035,0.0236160649175523,-2.53621227842372,0.0319084684622393,ns,False
H3K4me3,H3K4me3,epigenetic marks,10,0.6034643232822419,0.6098738551139832,0.006409531831741333,0.021346669521128524,0.9495026520925027,0.3671633879993865,ns,False
H3K9ac,H3K9ac,epigenetic marks,10,0.47382502257823944,0.5088479518890381,0.03502292931079866,0.02257542198030869,4.905876268882064,0.0008408066966133495,char,True
H3K9me3,H3K9me3,epigenetic marks,10,0.2994773179292679,0.33552046716213224,0.03604314923286438,0.027123233265400726,4.202244050549707,0.002299041705720594,ns,False
